date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:36	66776/66776	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:28%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=ITXX0067&zipCode=443336728553	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecast908b.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:37	66793/66793	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:30%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=DAXX0009&zipCode=634246377762	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecastbb47.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:37	563/563	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Oct%202009%2020:10:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/global/footer/2.Arabic.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/global/footer/2.Arabic.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:37	945/945	---M--	200	added ('OK')	image/gif	date:Fri,%2023%20Oct%202009%2020:10:21%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/global/header/search-icon.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/global/header/search-icon.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:37	1261/1261	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Oct%202009%2020:10:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/global/footer/3.Korean.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/global/footer/3.Korean.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:37	1282/1282	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Oct%202009%2020:10:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/global/footer/4.Japanese.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/global/footer/4.Japanese.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:38	987/987	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Oct%202009%2020:10:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/global/footer/5.Turkish.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/global/footer/5.Turkish.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:38	432/432	---M--	200	added ('OK')	image/gif	date:Fri,%2023%20Oct%202009%2020:10:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/global/footer/CNN.logo.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/global/footer/CNN.logo.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:38	227611/227611	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Jun%202014%2021:44:05%20GMT	http://z.cdn.turner.com/cnn/.e/js/libs/jsmd-55.min.js	C:/My%20Web%20Sites/cnn/z.cdn.turner.com/cnn/.e/js/libs/jsmd-55.min.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:40	68/68	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:24%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_TR.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_TR.gif	(from http://i.cdn.turner.com/cnn/.element/css/2.0/common.css)
09:42:40	68/68	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:25%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_BR.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_BR.gif	(from http://i.cdn.turner.com/cnn/.element/css/2.0/common.css)
09:42:40	131/131	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:30%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/right_rail/grey_corner_TR.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/right_rail/grey_corner_TR.gif	(from http://i.cdn.turner.com/cnn/.element/css/2.0/common.css)
09:42:40	131/131	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:30%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/right_rail/grey_corner_BR.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/right_rail/grey_corner_BR.gif	(from http://i.cdn.turner.com/cnn/.element/css/2.0/common.css)
09:42:41	198/198	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:25%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_TR_bg.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_TR_bg.gif	(from http://i.cdn.turner.com/cnn/.element/css/2.0/common.css)
09:42:41	199/199	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:24%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_BR._bg.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_BR._bg.gif	(from http://i.cdn.turner.com/cnn/.element/css/2.0/common.css)
